timestamp,action_value
2024-10-05 15:27:38.481,-1
2024-10-05 15:27:39.477,-1
2024-10-05 15:27:40.504,1
2024-10-05 15:27:41.504,1
2024-10-05 15:27:42.505,1
2024-10-05 15:27:43.516,2
2024-10-05 15:27:44.515,2
2024-10-05 15:27:45.531,2
2024-10-05 15:27:46.529,3
2024-10-05 15:27:47.530,3
2024-10-05 15:27:48.530,3
2024-10-05 15:27:49.536,4
2024-10-05 15:27:50.545,4
2024-10-05 15:27:51.565,4
2024-10-05 15:27:52.565,4
2024-10-05 15:27:53.580,4
2024-10-05 15:27:54.601,1
2024-10-05 15:27:55.607,1
2024-10-05 15:27:56.622,1
2024-10-05 15:27:57.645,2
2024-10-05 15:27:58.640,2
2024-10-05 15:27:59.638,2
2024-10-05 15:28:00.670,3
2024-10-05 15:28:01.662,3
2024-10-05 15:28:02.672,3
2024-10-05 15:28:03.698,4
2024-10-05 15:28:04.703,4
2024-10-05 15:28:05.716,4
2024-10-05 15:28:06.714,4
2024-10-05 15:28:07.730,4
2024-10-05 15:28:08.736,1
2024-10-05 15:28:09.751,1
2024-10-05 15:28:10.762,1
2024-10-05 15:28:11.778,2
2024-10-05 15:28:12.785,2
2024-10-05 15:28:13.785,2
2024-10-05 15:28:14.799,3
2024-10-05 15:28:15.809,3
2024-10-05 15:28:16.824,3
2024-10-05 15:28:17.846,4
2024-10-05 15:28:18.836,4
2024-10-05 15:28:19.857,4
2024-10-05 15:28:20.869,4
2024-10-05 15:28:21.890,4
2024-10-05 15:28:22.910,1
2024-10-05 15:28:23.916,1
2024-10-05 15:28:24.926,1
2024-10-05 15:28:25.942,2
2024-10-05 15:28:26.954,2
2024-10-05 15:28:27.963,2
2024-10-05 15:28:28.964,3
2024-10-05 15:28:29.964,3
2024-10-05 15:28:30.977,3
2024-10-05 15:28:31.999,4
2024-10-05 15:28:33.010,4
2024-10-05 15:28:34.011,4
2024-10-05 15:28:35.042,5
2024-10-05 15:28:36.039,5
2024-10-05 15:28:37.040,5
