timestamp,action_value
2024-11-12 16:50:11.944,-1
2024-11-12 16:50:12.955,-1
2024-11-12 16:50:13.973,1
2024-11-12 16:50:14.974,1
2024-11-12 16:50:15.988,1
2024-11-12 16:50:16.997,2
2024-11-12 16:50:18.009,2
2024-11-12 16:50:19.018,2
2024-11-12 16:50:20.020,3
2024-11-12 16:50:21.033,3
2024-11-12 16:50:22.033,3
2024-11-12 16:50:23.044,4
2024-11-12 16:50:24.054,4
2024-11-12 16:50:25.068,4
2024-11-12 16:50:26.083,4
2024-11-12 16:50:27.097,4
2024-11-12 16:50:28.105,1
2024-11-12 16:50:29.108,1
2024-11-12 16:50:30.121,1
2024-11-12 16:50:31.131,2
2024-11-12 16:50:32.144,2
2024-11-12 16:50:33.152,2
2024-11-12 16:50:34.167,3
2024-11-12 16:50:35.180,3
2024-11-12 16:50:36.192,3
2024-11-12 16:50:37.200,4
2024-11-12 16:50:38.211,4
2024-11-12 16:50:39.220,4
2024-11-12 16:50:40.232,4
2024-11-12 16:50:41.245,4
2024-11-12 16:50:42.256,1
2024-11-12 16:50:43.269,1
2024-11-12 16:50:44.281,1
2024-11-12 16:50:45.292,2
2024-11-12 16:50:46.303,2
2024-11-12 16:50:47.314,2
2024-11-12 16:50:48.320,3
2024-11-12 16:50:49.333,3
2024-11-12 16:50:50.345,3
2024-11-12 16:50:51.360,4
2024-11-12 16:50:52.372,4
2024-11-12 16:50:53.381,4
2024-11-12 16:50:54.391,4
2024-11-12 16:50:55.402,4
2024-11-12 16:50:56.415,1
2024-11-12 16:50:57.428,1
2024-11-12 16:50:58.438,1
2024-11-12 16:50:59.451,2
2024-11-12 16:51:00.465,2
2024-11-12 16:51:01.476,2
2024-11-12 16:51:02.477,3
2024-11-12 16:51:03.489,3
2024-11-12 16:51:04.499,3
2024-11-12 16:51:05.500,4
2024-11-12 16:51:06.511,4
2024-11-12 16:51:07.524,4
2024-11-12 16:51:08.524,5
