timestamp,device_id,x,y,z,pitch,roll,acceleration,inclination
2024-09-25 17:07:15.231,83c8c23779fed513bf54b2caa651454b,0,-0.62,-0.73,0,-40.45,0.96,-90
2024-09-25 17:07:15.331,83c8c23779fed513bf54b2caa651454b,0,-0.62,-0.73,-0.24,-40.24,0.95,-90.37
2024-09-25 17:07:15.431,83c8c23779fed513bf54b2caa651454b,-0.01,-0.64,-0.73,-0.71,-40.98,0.97,-91.08
2024-09-25 17:07:15.532,83c8c23779fed513bf54b2caa651454b,0,-0.62,-0.74,0,-40.11,0.96,-90
2024-09-25 17:07:15.632,83c8c23779fed513bf54b2caa651454b,0,-0.63,-0.72,-0.24,-41.1,0.96,-90.36
2024-09-25 17:07:15.731,83c8c23779fed513bf54b2caa651454b,-0.02,-0.64,-0.72,-0.95,-41.78,0.96,-91.43
2024-09-25 17:07:15.831,83c8c23779fed513bf54b2caa651454b,-0.01,-0.64,-0.73,-0.47,-41.14,0.97,-90.72
2024-09-25 17:07:15.932,83c8c23779fed513bf54b2caa651454b,0,-0.62,-0.73,0,-40.6,0.96,-90
2024-09-25 17:07:16.031,83c8c23779fed513bf54b2caa651454b,-0.01,-0.62,-0.72,-0.48,-40.91,0.95,-90.73
2024-09-25 17:07:16.132,83c8c23779fed513bf54b2caa651454b,0,-0.62,-0.74,0,-39.93,0.96,-90
2024-09-25 17:07:16.232,83c8c23779fed513bf54b2caa651454b,0,-0.63,-0.72,-0.24,-41.12,0.96,-90.36
2024-09-25 17:07:16.331,83c8c23779fed513bf54b2caa651454b,0,-0.61,-0.72,0.24,-40.21,0.95,-89.63
2024-09-25 17:07:16.432,83c8c23779fed513bf54b2caa651454b,-0.02,-0.62,-0.72,-0.97,-40.54,0.95,-91.49
2024-09-25 17:07:16.532,83c8c23779fed513bf54b2caa651454b,0,-0.61,-0.72,0.24,-40.21,0.95,-89.63
2024-09-25 17:07:16.632,83c8c23779fed513bf54b2caa651454b,-0.01,-0.62,-0.74,-0.48,-40.29,0.96,-90.73
2024-09-25 17:07:16.732,83c8c23779fed513bf54b2caa651454b,-0.01,-0.6,-0.73,-0.48,-39.53,0.95,-90.76
2024-09-25 17:07:16.832,83c8c23779fed513bf54b2caa651454b,-0.02,-0.62,-0.73,-0.96,-40.07,0.96,-91.49
2024-09-25 17:07:16.932,83c8c23779fed513bf54b2caa651454b,-0.01,-0.62,-0.74,-0.48,-39.93,0.96,-90.74
2024-09-25 17:07:17.032,83c8c23779fed513bf54b2caa651454b,0,-0.63,-0.73,0,-40.78,0.96,-90
2024-09-25 17:07:17.132,83c8c23779fed513bf54b2caa651454b,-0.02,-0.62,-0.72,-0.96,-40.73,0.95,-91.48
2024-09-25 17:07:17.232,83c8c23779fed513bf54b2caa651454b,0,-0.63,-0.72,0.24,-41.12,0.96,-89.64
2024-09-25 17:07:17.332,83c8c23779fed513bf54b2caa651454b,0.02,-0.72,-0.71,0.91,-45.15,1.01,-88.72
2024-09-25 17:07:17.432,83c8c23779fed513bf54b2caa651454b,-0.02,-0.53,-0.77,-0.98,-34.5,0.93,-91.74
2024-09-25 17:07:17.532,83c8c23779fed513bf54b2caa651454b,0,-0.6,-0.74,-0.24,-38.85,0.95,-90.38
2024-09-25 17:07:17.732,83c8c23779fed513bf54b2caa651454b,0,-0.56,-0.73,0,-37.22,0.92,-90
2024-09-25 17:07:17.833,83c8c23779fed513bf54b2caa651454b,-0.04,-0.44,-0.86,-2.14,-27.39,0.96,-94.64
2024-09-25 17:07:17.933,83c8c23779fed513bf54b2caa651454b,-0.02,-0.56,-0.77,-1.44,-36.28,0.95,-92.44
2024-09-25 17:07:18.033,83c8c23779fed513bf54b2caa651454b,0.02,-0.66,-0.7,1.43,-43.64,0.96,-87.93
2024-09-25 17:07:18.133,83c8c23779fed513bf54b2caa651454b,0.01,-0.56,-0.71,0.51,-38.18,0.91,-89.18
2024-09-25 17:07:18.233,83c8c23779fed513bf54b2caa651454b,0,-0.53,-0.82,-0.23,-32.78,0.98,-90.43
2024-09-25 17:07:18.333,83c8c23779fed513bf54b2caa651454b,-0.02,-0.54,-0.8,-1.42,-33.68,0.97,-92.56
2024-09-25 17:07:18.433,83c8c23779fed513bf54b2caa651454b,0,-0.57,-0.71,-0.25,-38.74,0.91,-90.4
2024-09-25 17:07:18.533,83c8c23779fed513bf54b2caa651454b,0.03,-0.69,-0.69,1.88,-45.14,0.98,-87.35
2024-09-25 17:07:18.634,83c8c23779fed513bf54b2caa651454b,0.01,-0.52,-0.78,0.49,-33.82,0.93,-89.12
2024-09-25 17:07:18.733,83c8c23779fed513bf54b2caa651454b,-0.01,-0.54,-0.8,-0.48,-34.15,0.96,-90.85
2024-09-25 17:07:18.834,83c8c23779fed513bf54b2caa651454b,0,-0.56,-0.78,-0.24,-36.01,0.96,-90.41
2024-09-25 17:07:18.934,83c8c23779fed513bf54b2caa651454b,0.01,-0.58,-0.78,0.47,-36.96,0.97,-89.22
2024-09-25 17:07:19.034,83c8c23779fed513bf54b2caa651454b,-0.01,-0.61,-0.82,-0.68,-36.69,1.02,-91.13
2024-09-25 17:07:19.134,83c8c23779fed513bf54b2caa651454b,-0.02,-0.63,-0.82,-0.89,-37.75,1.03,-91.45
2024-09-25 17:07:19.234,83c8c23779fed513bf54b2caa651454b,0.08,-0.64,-0.65,5.02,-44.07,0.91,-82.83
2024-09-25 17:07:19.334,83c8c23779fed513bf54b2caa651454b,-0.01,-0.49,-0.82,-0.48,-30.96,0.96,-90.93
2024-09-25 17:07:19.434,83c8c23779fed513bf54b2caa651454b,0.19,-0.62,-0.7,11.6,-40.5,0.95,-72.79
2024-09-25 17:07:19.535,83c8c23779fed513bf54b2caa651454b,0.33,-0.54,-0.72,19.91,-34.39,0.96,-58.91
2024-09-25 17:07:19.634,83c8c23779fed513bf54b2caa651454b,0.24,-0.57,-0.79,13.66,-34.63,1,-67.44
2024-09-25 17:07:19.734,83c8c23779fed513bf54b2caa651454b,0.12,-0.55,-0.74,7.62,-36.2,0.93,-77.34
