timestamp,device_id,x,y,z,pitch,roll,acceleration,inclination
2024-10-05 15:43:02.070,83c8c23779fed513bf54b2caa651454b,0.07,-0.93,-0.19,4.11,-77.84,0.95,-85.81
2024-10-05 15:43:02.333,83c8c23779fed513bf54b2caa651454b,0.08,-0.95,-0.11,4.54,-82.1,0.96,-85.44
2024-10-05 15:43:02.335,83c8c23779fed513bf54b2caa651454b,0.06,-0.93,-0.09,3.91,-83.34,0.94,-86.07
2024-10-05 15:43:02.368,83c8c23779fed513bf54b2caa651454b,0.09,-0.96,-0.15,5.2,-79.79,0.97,-84.74
2024-10-05 15:43:02.471,83c8c23779fed513bf54b2caa651454b,0.13,-0.95,-0.15,7.56,-78.21,0.97,-82.34
2024-10-05 15:43:02.569,83c8c23779fed513bf54b2caa651454b,0.09,-0.93,-0.16,5.32,-79.12,0.95,-84.61
2024-10-05 15:43:02.692,83c8c23779fed513bf54b2caa651454b,0.12,-0.96,-0.14,6.82,-79.28,0.98,-83.11
2024-10-05 15:43:02.768,83c8c23779fed513bf54b2caa651454b,0.05,-0.93,-0.11,2.93,-82.55,0.94,-87.05
2024-10-05 15:43:02.868,83c8c23779fed513bf54b2caa651454b,0.08,-0.91,-0.15,4.7,-79.44,0.93,-85.24
2024-10-05 15:43:02.969,83c8c23779fed513bf54b2caa651454b,0.1,-0.96,-0.14,5.67,-79.74,0.97,-84.27
2024-10-05 15:43:03.068,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.8,-80.92,0.96,-85.16
2024-10-05 15:43:03.191,83c8c23779fed513bf54b2caa651454b,0.08,-0.96,-0.12,4.51,-81.35,0.97,-85.45
2024-10-05 15:43:03.268,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.11,4.33,-81.97,0.95,-85.64
2024-10-05 15:43:03.369,83c8c23779fed513bf54b2caa651454b,0.09,-0.93,-0.12,5.62,-80.94,0.94,-84.34
2024-10-05 15:43:03.469,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.11,4.37,-81.9,0.95,-85.6
2024-10-05 15:43:03.571,83c8c23779fed513bf54b2caa651454b,0.07,-0.92,-0.12,4.43,-81.14,0.93,-85.53
2024-10-05 15:43:03.701,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.12,5.09,-81.11,0.95,-84.87
2024-10-05 15:43:03.769,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.12,4.6,-81.37,0.95,-85.36
2024-10-05 15:43:03.869,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.58,-81,0.95,-85.38
2024-10-05 15:43:03.969,83c8c23779fed513bf54b2caa651454b,0.05,-0.94,-0.09,2.92,-83.67,0.94,-87.06
2024-10-05 15:43:04.191,83c8c23779fed513bf54b2caa651454b,0.08,-0.93,-0.12,4.87,-81.2,0.94,-85.09
2024-10-05 15:43:04.269,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.84,-80.84,0.95,-85.11
2024-10-05 15:43:04.369,83c8c23779fed513bf54b2caa651454b,0.07,-0.93,-0.12,4.14,-81.58,0.94,-85.83
2024-10-05 15:43:04.469,83c8c23779fed513bf54b2caa651454b,0.07,-0.93,-0.12,4.38,-81.25,0.94,-85.58
2024-10-05 15:43:04.611,83c8c23779fed513bf54b2caa651454b,0.07,-0.95,-0.12,4.31,-81.8,0.96,-85.66
2024-10-05 15:43:04.704,83c8c23779fed513bf54b2caa651454b,0.07,-0.92,-0.14,4.41,-80.54,0.94,-85.54
2024-10-05 15:43:04.769,83c8c23779fed513bf54b2caa651454b,0.06,-0.95,-0.14,3.82,-80.99,0.96,-86.14
2024-10-05 15:43:04.870,83c8c23779fed513bf54b2caa651454b,0.09,-0.94,-0.14,5.27,-80.26,0.96,-84.67
2024-10-05 15:43:04.970,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.8,-80.92,0.96,-85.16
2024-10-05 15:43:05.070,83c8c23779fed513bf54b2caa651454b,0.06,-0.93,-0.12,3.65,-81.59,0.94,-86.32
2024-10-05 15:43:05.199,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.12,4.81,-81.51,0.95,-85.16
2024-10-05 15:43:05.270,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.13,4.36,-81.08,0.95,-85.6
2024-10-05 15:43:05.370,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.13,4.1,-81.02,0.95,-85.86
2024-10-05 15:43:05.470,83c8c23779fed513bf54b2caa651454b,0.06,-0.95,-0.13,3.35,-81.4,0.96,-86.62
2024-10-05 15:43:05.570,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.58,-80.8,0.95,-85.38
2024-10-05 15:43:05.690,83c8c23779fed513bf54b2caa651454b,0.07,-0.95,-0.14,4.06,-80.89,0.96,-85.9
2024-10-05 15:43:05.771,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.12,4.57,-81.44,0.95,-85.4
2024-10-05 15:43:05.893,83c8c23779fed513bf54b2caa651454b,0.07,-0.93,-0.12,4.38,-81.67,0.94,-85.58
2024-10-05 15:43:05.971,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.13,4.34,-81.12,0.95,-85.62
2024-10-05 15:43:06.071,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.12,4.6,-81.37,0.95,-85.36
2024-10-05 15:43:06.203,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.12,4.34,-81.33,0.95,-85.62
2024-10-05 15:43:06.271,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.8,-80.71,0.96,-85.16
2024-10-05 15:43:06.371,83c8c23779fed513bf54b2caa651454b,0.08,-0.92,-0.13,4.92,-80.48,0.93,-85.03
2024-10-05 15:43:06.471,83c8c23779fed513bf54b2caa651454b,0.06,-0.94,-0.14,3.6,-81.05,0.96,-86.36
2024-10-05 15:43:06.571,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.82,-80.88,0.95,-85.14
2024-10-05 15:43:06.698,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.8,-80.71,0.96,-85.16
2024-10-05 15:43:06.771,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.12,4.82,-81.08,0.95,-85.14
2024-10-05 15:43:06.871,83c8c23779fed513bf54b2caa651454b,0.06,-0.93,-0.14,3.66,-80.9,0.94,-86.3
2024-10-05 15:43:06.971,83c8c23779fed513bf54b2caa651454b,0.08,-0.93,-0.12,4.63,-81.54,0.94,-85.34
2024-10-05 15:43:07.072,83c8c23779fed513bf54b2caa651454b,0.08,-0.93,-0.12,4.88,-80.96,0.94,-85.07
2024-10-05 15:43:07.192,83c8c23779fed513bf54b2caa651454b,0.07,-0.93,-0.13,4.37,-80.84,0.94,-85.58
2024-10-05 15:43:07.272,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.12,4.36,-81.5,0.95,-85.6
2024-10-05 15:43:07.372,83c8c23779fed513bf54b2caa651454b,0.07,-0.95,-0.12,4.06,-81.96,0.96,-85.91
2024-10-05 15:43:07.472,83c8c23779fed513bf54b2caa651454b,0.09,-0.92,-0.13,5.63,-80.32,0.94,-84.31
2024-10-05 15:43:07.572,83c8c23779fed513bf54b2caa651454b,0.06,-0.94,-0.13,3.84,-81.17,0.96,-86.12
2024-10-05 15:43:07.710,83c8c23779fed513bf54b2caa651454b,0.08,-0.95,-0.14,4.53,-80.46,0.96,-85.42
2024-10-05 15:43:07.772,83c8c23779fed513bf54b2caa651454b,0.07,-0.93,-0.13,4.13,-81.16,0.94,-85.83
2024-10-05 15:43:07.872,83c8c23779fed513bf54b2caa651454b,0.06,-0.93,-0.12,3.66,-82.02,0.94,-86.32
2024-10-05 15:43:07.973,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.6,-80.96,0.95,-85.36
2024-10-05 15:43:08.072,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.82,-80.88,0.95,-85.14
2024-10-05 15:43:08.191,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.12,4.36,-81.5,0.95,-85.6
2024-10-05 15:43:08.272,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.12,4.81,-81.31,0.95,-85.16
2024-10-05 15:43:08.372,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.12,4.1,-81.44,0.95,-85.86
2024-10-05 15:43:08.472,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.13,4.08,-81.27,0.96,-85.88
2024-10-05 15:43:08.573,83c8c23779fed513bf54b2caa651454b,0.07,-0.95,-0.12,4.07,-81.52,0.96,-85.9
2024-10-05 15:43:08.689,83c8c23779fed513bf54b2caa651454b,0.07,-0.95,-0.12,4.31,-81.6,0.96,-85.66
2024-10-05 15:43:08.773,83c8c23779fed513bf54b2caa651454b,0.06,-0.95,-0.12,3.59,-81.94,0.96,-86.38
2024-10-05 15:43:08.873,83c8c23779fed513bf54b2caa651454b,0.08,-0.96,-0.13,4.5,-80.95,0.97,-85.45
2024-10-05 15:43:08.973,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,5.08,-80.71,0.95,-84.87
2024-10-05 15:43:09.074,83c8c23779fed513bf54b2caa651454b,0.06,-0.94,-0.12,3.86,-81.77,0.95,-86.11
2024-10-05 15:43:09.201,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.14,4.11,-80.77,0.95,-85.84
2024-10-05 15:43:09.273,83c8c23779fed513bf54b2caa651454b,0.08,-0.96,-0.12,4.51,-81.55,0.97,-85.45
2024-10-05 15:43:09.373,83c8c23779fed513bf54b2caa651454b,0.1,-0.93,-0.17,6.26,-77.83,0.95,-83.63
2024-10-05 15:43:09.621,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.58,-81,0.95,-85.38
2024-10-05 15:43:09.723,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.13,4.36,-81.08,0.95,-85.6
2024-10-05 15:43:09.774,83c8c23779fed513bf54b2caa651454b,0.07,-0.95,-0.15,4.29,-79.94,0.96,-85.66
2024-10-05 15:43:09.874,83c8c23779fed513bf54b2caa651454b,0.06,-0.94,-0.15,3.86,-80.23,0.95,-86.09
2024-10-05 15:43:09.974,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.14,4.07,-80.42,0.96,-85.88
2024-10-05 15:43:10.074,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.13,4.56,-80.83,0.96,-85.4
2024-10-05 15:43:10.201,83c8c23779fed513bf54b2caa651454b,0.08,-0.92,-0.13,4.66,-80.64,0.94,-85.3
2024-10-05 15:43:10.274,83c8c23779fed513bf54b2caa651454b,0.07,-0.95,-0.13,4.06,-81.1,0.96,-85.9
2024-10-05 15:43:10.374,83c8c23779fed513bf54b2caa651454b,0.08,-0.95,-0.13,4.52,-80.91,0.96,-85.44
2024-10-05 15:43:10.474,83c8c23779fed513bf54b2caa651454b,0.08,-0.94,-0.15,5.04,-79.74,0.96,-84.89
2024-10-05 15:43:10.575,83c8c23779fed513bf54b2caa651454b,0.07,-0.93,-0.13,4.37,-80.84,0.94,-85.58
