timestamp,action_value
2024-10-17 19:54:19.954,-1
2024-10-17 19:54:20.965,-1
2024-10-17 19:54:21.986,1
2024-10-17 19:54:22.986,1
2024-10-17 19:54:23.997,1
2024-10-17 19:54:25.022,2
2024-10-17 19:54:26.011,2
2024-10-17 19:54:27.030,2
2024-10-17 19:54:28.051,3
2024-10-17 19:54:29.045,3
2024-10-17 19:54:30.066,3
2024-10-17 19:54:31.092,4
2024-10-17 19:54:32.085,4
2024-10-17 19:54:33.101,4
2024-10-17 19:54:34.108,1
2024-10-17 19:54:35.119,1
2024-10-17 19:54:36.125,1
2024-10-17 19:54:37.146,2
2024-10-17 19:54:38.147,2
2024-10-17 19:54:39.152,2
2024-10-17 19:54:40.172,3
2024-10-17 19:54:41.176,3
2024-10-17 19:54:42.189,3
2024-10-17 19:54:43.210,4
2024-10-17 19:54:44.210,4
2024-10-17 19:54:45.208,4
2024-10-17 19:54:46.221,1
2024-10-17 19:54:47.222,1
2024-10-17 19:54:48.237,1
2024-10-17 19:54:49.250,2
2024-10-17 19:54:50.252,2
2024-10-17 19:54:51.268,2
2024-10-17 19:54:52.284,3
2024-10-17 19:54:53.290,3
2024-10-17 19:54:54.300,3
2024-10-17 19:54:55.330,4
2024-10-17 19:54:56.320,4
2024-10-17 19:54:57.332,4
2024-10-17 19:54:58.353,1
2024-10-17 19:54:59.354,1
2024-10-17 19:55:00.368,1
2024-10-17 19:55:01.378,2
2024-10-17 19:55:02.389,2
2024-10-17 19:55:03.399,2
2024-10-17 19:55:04.395,3
2024-10-17 19:55:05.402,3
2024-10-17 19:55:06.420,3
2024-10-17 19:55:07.431,4
2024-10-17 19:55:08.431,4
2024-10-17 19:55:09.460,4
2024-10-17 19:55:10.457,5
