arbitrary_time,CP3,C3,F5,PO3,PO4,F6,C4,CP4
707.438885211,1888.4093017578125,24124.994140625,23691.68359375,69971.7265625,80758.5,15072.271484375,17020.29296875,-8241.8251953125
707.4394696,2211.011962890625,32574.69140625,37105.546875,68636.921875,78206.9140625,43772.78125,44020.81640625,-8004.98583984375
707.440233244,2295.0322265625,1633.398193359375,279.21795654296875,64239.77734375,70993.1796875,-4498.66796875,-251.59120178222656,-8051.11962890625
707.441382021,1967.936767578125,-15188.0751953125,-23714.416015625,64153.34375,71252.1484375,-44491.27734375,-38190.6328125,-8321.3525390625
707.441802657,1854.14404296875,15221.267578125,12335.7470703125,69201.2578125,79564.984375,-1532.748291015625,1552.5296630859375,-8294.1279296875
707.442177416,2127.461181640625,35340.25,39675.83984375,69676.75,79988.7734375,44404.70703125,44518.90234375,-8048.77294921875
707.442523549,2319.239013671875,11234.0302734375,12256.287109375,65291.40625,72648.1015625,12610.1376953125,15628.830078125,-8007.33251953125
707.442797056,2090.178466796875,-16088.626953125,-23707.173828125,63333.59375,69783.703125,-41897.17578125,-35479.92578125,-8240.55078125
707.443052687,1837.1790771484375,5567.5283203125,310.2645263671875,68058.3046875,77719.484375,-17798.669921875,-13603.6943359375,-8334.5625
707.443267442,2035.595458984375,34205.47265625,37433.6484375,70239.6796875,81019.9453125,38222.55078125,38665.1171875,-8107.11083984375
707.443483323,2313.673583984375,20452.6484375,23359.08984375,66494.7109375,74609.3984375,27719.154296875,29479.48828125,-7975.34716796875
707.443674702,2201.624267578125,-12304.09765625,-18052.40625,63194.05078125,69448.625,-32123.275390625,-26097.357421875,-8151.0322265625
707.443920958,1848.3101806640625,-3841.660888671875,-11082.75390625,66628.953125,75384.4921875,-31855.5234375,-26651.501953125,-8362.1884765625
707.445031235,1948.08837890625,29473.923828125,30822.001953125,70278.96875,81174.1015625,26395.150390625,27622.259765625,-8185.1630859375
707.445397369,2267.8076171875,28259.75390625,32373.66015625,67742.34375,76661.7578125,38864.26953125,39648.68359375,-7983.05859375
707.445647,2269.886474609375,-5069.77734375,-8385.7255859375,63643.9921875,70055.546875,-17365.224609375,-12188.896484375,-8087.12841796875
707.449796601,1897.059326171875,-11459.8720703125,-19880.265625,65149.1796875,72898.21875,-41455.015625,-35476.171875,-8358.3671875
707.450129484,1881.971923828125,22037.56640625,20979.099609375,69832.1171875,80496.7109375,10938.31640625,13209.611328125,-8250.810546875
707.450449617,2193.443359375,33612.83984375,38153.015625,68936.6640625,78672.6796875,44480.4140625,44685.734375,-8003.3095703125
707.450757999,2308.040771484375,4064.351318359375,3301.665283203125,64511.8203125,71384.4453125,-210.28518676757812,3775.0751953125,-8026.443359375
707.451028881,2004.4818115234375,-15777.5576171875,-24259.775390625,63921.734375,70820.9765625,-44635.78125,-38219.734375,-8289.8359375
707.451315138,1848.1761474609375,12925.6318359375,9382.6357421875,68958.9921875,79142.53125,-5720.01171875,-2336.87451171875,-8302.107421875
707.45163577,2104.7294921875,35445.9296875,39545.015625,69857.328125,80287.1640625,43418.86328125,43572.015625,-8061.8486328125
707.451861276,2324.067138671875,13615.09375,15104.4580078125,65585.9765625,73108.8359375,16541.787109375,19244.849609375,-7997.14013671875
707.452186159,2127.99755859375,-15454.888671875,-22769.40625,63258.828125,69638.53125,-40124.90625,-33723.2109375,-8211.716796875
